2026-07-17 13:50:20,066 | INFO | audit | action=auth.logout user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T12:50:20.066782+00:00
2026-07-17 13:50:35,019 | INFO | audit | action=auth.login user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T12:50:35.019483+00:00
2026-07-17 13:52:08,258 | INFO | audit | action=auth.logout user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T12:52:08.258239+00:00
2026-07-17 13:52:10,943 | INFO | audit | action=auth.login user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T12:52:10.943544+00:00
2026-07-17 13:53:37,692 | INFO | audit | action=auth.logout user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T12:53:37.691994+00:00
2026-07-17 13:53:50,335 | INFO | audit | action=auth.login user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T12:53:50.335851+00:00
2026-07-17 13:54:03,501 | INFO | audit | action=user.update user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=59ada717-b268-40ef-934e-99bd88cf9e6f ip=None ts=2026-07-17T12:54:03.501933+00:00
2026-07-17 13:54:22,791 | INFO | audit | action=auth.logout user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T12:54:22.791256+00:00
2026-07-17 13:54:27,071 | INFO | audit | action=auth.login user_id=59ada717-b268-40ef-934e-99bd88cf9e6f patient_id=None status=failure reason=invalid_credentials ip=127.0.0.1 ts=2026-07-17T12:54:27.070992+00:00
2026-07-17 13:54:28,160 | INFO | audit | action=auth.login user_id=59ada717-b268-40ef-934e-99bd88cf9e6f patient_id=None status=failure reason=invalid_credentials ip=127.0.0.1 ts=2026-07-17T12:54:28.160318+00:00
2026-07-17 13:54:32,802 | INFO | audit | action=auth.login user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=None ip=127.0.0.1 ts=2026-07-17T12:54:32.802325+00:00
2026-07-17 13:54:36,802 | INFO | audit | action=user.update user_id=ad1b5e21-ec7c-46a1-8b90-8a3031d0ec1b patient_id=None status=success reason=59ada717-b268-40ef-934e-99bd88cf9e6f ip=None ts=2026-07-17T12:54:36.802589+00:00
